timestamp	product	location	quantity	price	category	unit_cost_of_goods
"2021-03-01 07:00:00"	"loaves"	"location_2"	10.0	3094.0	"bakery"	2000.0
"2021-03-01 08:00:00"	"hand soap"	"location_2"	25.0	3929.0	"personal care"	2300.0
"2021-03-01 08:00:00"	"oranges"	"location_2"	28.0	1474.0	"fruits"	800.0
"2021-03-01 08:00:00"	"hand soap"	"location_2"	16.0	3929.0	"personal care"	2300.0
"2021-03-01 08:00:00"	"toilet paper"	"location_2"	17.0	3164.0	"toileteries"	1700.0
"2021-03-01 08:00:00"	"shampoo"	"location_4"	30.0	5761.0	"personal care"	3000.0
"2021-03-01 08:00:00"	"soda"	"location_4"	4.0	1878.0	"beverages"	1000.0
"2021-03-01 08:00:00"	"shampoo"	"location_4"	4.0	5761.0	"personal care"	3000.0
"2021-03-01 09:00:00"	"ketchup"	"location_3"	2.0	2910.0	"canned food"	1500.0
"2021-03-01 09:00:00"	"oranges"	"location_1"	29.0	1061.0	"fruits"	800.0
"2021-03-01 09:00:00"	"laundry detergent"	"location_1"	6.0	4650.0	"detergents"	3000.0
"2021-03-01 09:00:00"	"shampoo"	"location_1"	4.0	3342.0	"personal care"	3000.0
"2021-03-01 09:00:00"	"apples"	"location_5"	2.0	1184.0	"fruits"	900.0
"2021-03-01 09:00:00"	"beans"	"location_5"	7.0	1019.0	"canned food"	800.0
"2021-03-01 09:00:00"	"buns"	"location_5"	28.0	2215.0	"bakery"	1500.0
"2021-03-01 10:00:00"	"bananas"	"location_5"	9.0	2392.0	"fruits"	1500.0
"2021-03-01 10:00:00"	"cookies"	"location_3"	10.0	737.0	"bakery"	500.0
"2021-03-01 10:00:00"	"shampoo"	"location_3"	17.0	4390.0	"personal care"	3000.0
"2021-03-01 10:00:00"	"chicken"	"location_3"	18.0	10830.0	"meat"	5500.0
"2021-03-01 10:00:00"	"shaving cream"	"location_4"	19.0	3627.0	"personal care"	2400.0
"2021-03-01 10:00:00"	"cupcakes"	"location_4"	1.0	508.0	"bakery"	500.0
"2021-03-01 10:00:00"	"bananas"	"location_4"	7.0	1821.0	"fruits"	1500.0
"2021-03-01 10:00:00"	"beans"	"location_4"	30.0	1028.0	"canned food"	800.0
"2021-03-01 10:00:00"	"tea"	"location_4"	10.0	422.0	"beverages"	300.0
"2021-03-01 10:00:00"	"ketchup"	"location_4"	4.0	1847.0	"canned food"	1500.0
"2021-03-01 10:00:00"	"toilet paper"	"location_4"	25.0	2813.0	"toileteries"	1700.0
"2021-03-01 10:00:00"	"beef"	"location_1"	8.0	5800.0	"meat"	5000.0
"2021-03-01 10:00:00"	"coffee"	"location_1"	3.0	289.0	"beverages"	200.0
"2021-03-01 10:00:00"	"cupcakes"	"location_1"	11.0	888.0	"bakery"	500.0
"2021-03-01 10:00:00"	"oranges"	"location_1"	23.0	1061.0	"fruits"	800.0
"2021-03-01 10:00:00"	"shaving cream"	"location_1"	21.0	3641.0	"personal care"	2400.0
"2021-03-01 10:00:00"	"chicken"	"location_2"	15.0	10125.0	"meat"	5500.0
"2021-03-01 10:00:00"	"coffee"	"location_2"	21.0	271.0	"beverages"	200.0
"2021-03-01 10:00:00"	"beans"	"location_2"	1.0	1197.0	"canned food"	800.0
"2021-03-01 10:00:00"	"hand soap"	"location_2"	21.0	3929.0	"personal care"	2300.0
"2021-03-01 10:00:00"	"oranges"	"location_2"	25.0	1474.0	"fruits"	800.0
"2021-03-01 10:00:00"	"cookies"	"location_2"	4.0	936.0	"bakery"	500.0
"2021-03-01 10:00:00"	"loaves"	"location_2"	5.0	3094.0	"bakery"	2000.0
"2021-03-01 11:00:00"	"tea"	"location_1"	10.0	538.0	"beverages"	300.0
"2021-03-01 11:00:00"	"chicken"	"location_1"	30.0	7626.0	"meat"	5500.0
"2021-03-01 11:00:00"	"hand soap"	"location_1"	17.0	3122.0	"personal care"	2300.0
"2021-03-01 11:00:00"	"coffee"	"location_2"	5.0	271.0	"beverages"	200.0
